Ax, Ay, Az, Timestamp
130,119,151, 2023-09-18 11:27:04 AM
126,119,155, 2023-09-18 11:27:04 AM
132,117,148, 2023-09-18 11:27:04 AM
126,119,161, 2023-09-18 11:27:04 AM
133,120,156, 2023-09-18 11:27:04 AM
130,118,152, 2023-09-18 11:27:04 AM
132,120,152, 2023-09-18 11:27:04 AM
131,120,153, 2023-09-18 11:27:04 AM
130,121,152, 2023-09-18 11:27:04 AM
130,123,155, 2023-09-18 11:27:05 AM
129,124,153, 2023-09-18 11:27:05 AM
130,124,155, 2023-09-18 11:27:05 AM
130,128,155, 2023-09-18 11:27:05 AM
128,121,155, 2023-09-18 11:27:05 AM
129,126,152, 2023-09-18 11:27:05 AM
129,125,152, 2023-09-18 11:27:05 AM
131,125,149, 2023-09-18 11:27:05 AM
131,125,144, 2023-09-18 11:27:05 AM
130,132,155, 2023-09-18 11:27:05 AM
152,175,239, 2023-09-18 11:27:05 AM
154,182,244, 2023-09-18 11:27:05 AM
233,115,88, 2023-09-18 11:27:05 AM
160,92,25, 2023-09-18 11:27:05 AM
73,113,96, 2023-09-18 11:27:05 AM
99,137,147, 2023-09-18 11:27:05 AM
129,132,161, 2023-09-18 11:27:05 AM
142,127,161, 2023-09-18 11:27:05 AM
135,123,155, 2023-09-18 11:27:05 AM
132,120,154, 2023-09-18 11:27:05 AM
126,111,186, 2023-09-18 11:27:05 AM
7,165,225, 2023-09-18 11:27:05 AM
39,177,75, 2023-09-18 11:27:05 AM
252,121,141, 2023-09-18 11:27:05 AM
210,121,165, 2023-09-18 11:27:06 AM
151,134,152, 2023-09-18 11:27:06 AM
120,129,154, 2023-09-18 11:27:06 AM
137,124,156, 2023-09-18 11:27:06 AM
131,129,158, 2023-09-18 11:27:06 AM
132,125,155, 2023-09-18 11:27:06 AM
128,127,155, 2023-09-18 11:27:06 AM
132,123,152, 2023-09-18 11:27:06 AM
131,123,154, 2023-09-18 11:27:06 AM
130,123,153, 2023-09-18 11:27:06 AM
126,125,153, 2023-09-18 11:27:06 AM
127,124,153, 2023-09-18 11:27:06 AM
127,125,153, 2023-09-18 11:27:06 AM
127,126,153, 2023-09-18 11:27:06 AM
128,125,151, 2023-09-18 11:27:06 AM
128,125,152, 2023-09-18 11:27:06 AM
129,124,153, 2023-09-18 11:27:06 AM
130,124,154, 2023-09-18 11:27:06 AM
128,124,154, 2023-09-18 11:27:06 AM
128,125,156, 2023-09-18 11:27:06 AM
129,125,154, 2023-09-18 11:27:06 AM
130,125,154, 2023-09-18 11:27:06 AM
130,127,154, 2023-09-18 11:27:06 AM
130,127,151, 2023-09-18 11:27:06 AM
129,127,154, 2023-09-18 11:27:06 AM
129,129,154, 2023-09-18 11:27:07 AM
130,128,155, 2023-09-18 11:27:07 AM
130,128,155, 2023-09-18 11:27:07 AM
130,126,153, 2023-09-18 11:27:07 AM
130,125,153, 2023-09-18 11:27:07 AM
131,125,153, 2023-09-18 11:27:07 AM
130,125,153, 2023-09-18 11:27:07 AM
131,125,154, 2023-09-18 11:27:07 AM
130,126,154, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
130,126,153, 2023-09-18 11:27:07 AM
130,126,153, 2023-09-18 11:27:07 AM
129,127,154, 2023-09-18 11:27:07 AM
130,126,154, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
130,126,153, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
130,126,154, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
129,126,153, 2023-09-18 11:27:07 AM
129,126,154, 2023-09-18 11:27:07 AM
130,125,153, 2023-09-18 11:27:07 AM
130,126,154, 2023-09-18 11:27:08 AM
130, ,,
