Ax, Ay, Az, Timestamp
135,126,150, 2023-09-18 11:27:21 AM
134,127,150, 2023-09-18 11:27:21 AM
135,126,151, 2023-09-18 11:27:21 AM
135,126,151, 2023-09-18 11:27:21 AM
134,126,152, 2023-09-18 11:27:21 AM
135,126,152, 2023-09-18 11:27:21 AM
135,126,152, 2023-09-18 11:27:21 AM
135,126,151, 2023-09-18 11:27:21 AM
135,126,151, 2023-09-18 11:27:21 AM
135,126,151, 2023-09-18 11:27:21 AM
136,126,151, 2023-09-18 11:27:21 AM
136,125,150, 2023-09-18 11:27:22 AM
135,124,143, 2023-09-18 11:27:22 AM
130,122,128, 2023-09-18 11:27:22 AM
148,156,201, 2023-09-18 11:27:22 AM
193,213,253, 2023-09-18 11:27:22 AM
234,124,159, 2023-09-18 11:27:22 AM
186,100,35, 2023-09-18 11:27:22 AM
77,102,88, 2023-09-18 11:27:22 AM
110,121,133, 2023-09-18 11:27:22 AM
120,126,142, 2023-09-18 11:27:22 AM
126,128,148, 2023-09-18 11:27:22 AM
127,133,156, 2023-09-18 11:27:22 AM
131,131,153, 2023-09-18 11:27:22 AM
134,126,156, 2023-09-18 11:27:22 AM
123,115,193, 2023-09-18 11:27:22 AM
24,206,190, 2023-09-18 11:27:22 AM
74,158,76, 2023-09-18 11:27:22 AM
253,107,180, 2023-09-18 11:27:22 AM
170,146,165, 2023-09-18 11:27:22 AM
138,133,151, 2023-09-18 11:27:22 AM
121,128,149, 2023-09-18 11:27:22 AM
135,121,155, 2023-09-18 11:27:22 AM
127,128,160, 2023-09-18 11:27:22 AM
129,124,153, 2023-09-18 11:27:22 AM
128,126,154, 2023-09-18 11:27:22 AM
128,125,153, 2023-09-18 11:27:22 AM
130,125,154, 2023-09-18 11:27:23 AM
128,126,153, 2023-09-18 11:27:23 AM
125,129,152, 2023-09-18 11:27:23 AM
125,127,155, 2023-09-18 11:27:23 AM
128,129,155, 2023-09-18 11:27:23 AM
126,128,155, 2023-09-18 11:27:23 AM
125,128,154, 2023-09-18 11:27:23 AM
125,127,153, 2023-09-18 11:27:23 AM
127,125,153, 2023-09-18 11:27:23 AM
125,126,155, 2023-09-18 11:27:23 AM
126,126,153, 2023-09-18 11:27:23 AM
127,126,154, 2023-09-18 11:27:23 AM
126,126,153, 2023-09-18 11:27:23 AM
126,128,154, 2023-09-18 11:27:23 AM
127,126,155, 2023-09-18 11:27:23 AM
127,127,154, 2023-09-18 11:27:23 AM
126,126,153, 2023-09-18 11:27:23 AM
126,127,154, 2023-09-18 11:27:23 AM
127,127,154, 2023-09-18 11:27:23 AM
127,126,154, 2023-09-18 11:27:23 AM
127,126,154, 2023-09-18 11:27:23 AM
127,126,153, 2023-09-18 11:27:23 AM
127,126,154, 2023-09-18 11:27:23 AM
127,126,153, 2023-09-18 11:27:23 AM
127,126,155, 2023-09-18 11:27:23 AM
127,127,154, 2023-09-18 11:27:24 AM
128,127,155, 2023-09-18 11:27:24 AM
128,127,154, 2023-09-18 11:27:24 AM
127,127,154, 2023-09-18 11:27:24 AM
127,127,154, 2023-09-18 11:27:24 AM
126,127,153, 2023-09-18 11:27:24 AM
127,126,154, 2023-09-18 11:27:24 AM
127,127,153, 2023-09-18 11:27:24 AM
127,126,154, 2023-09-18 11:27:24 AM
127,127,154, 2023-09-18 11:27:24 AM
127,126,154, 2023-09-18 11:27:24 AM
127,126,154, 2023-09-18 11:27:24 AM
127,127,154, 2023-09-18 11:27:24 AM
127,126,154, 2023-09-18 11:27:24 AM
127,127,154, 2023-09-18 11:27:24 AM
127,127, ,
