Ax, Ay, Az, Timestamp
120, 128, 151, 2023-09-24 11:34:55 PM
121, 127, 152, 2023-09-24 11:34:55 PM
126, 128, 154, 2023-09-24 11:34:55 PM
124, 128, 155, 2023-09-24 11:34:55 PM
124, 134, 152, 2023-09-24 11:34:55 PM
120, 117, 156, 2023-09-24 11:34:55 PM
123, 128, 152, 2023-09-24 11:34:55 PM
123, 124, 164, 2023-09-24 11:34:55 PM
126, 128, 153, 2023-09-24 11:34:55 PM
125, 126, 158, 2023-09-24 11:34:55 PM
124, 127, 154, 2023-09-24 11:34:55 PM
124, 127, 155, 2023-09-24 11:34:55 PM
122, 129, 154, 2023-09-24 11:34:55 PM
123, 128, 152, 2023-09-24 11:34:55 PM
120, 126, 154, 2023-09-24 11:34:55 PM
122, 128, 153, 2023-09-24 11:34:55 PM
124, 127, 153, 2023-09-24 11:34:55 PM
122, 127, 154, 2023-09-24 11:34:55 PM
124, 128, 153, 2023-09-24 11:34:55 PM
121, 127, 154, 2023-09-24 11:34:55 PM
122, 128, 154, 2023-09-24 11:34:55 PM
122, 127, 152, 2023-09-24 11:34:56 PM
121, 128, 155, 2023-09-24 11:34:56 PM
122, 128, 153, 2023-09-24 11:34:56 PM
124, 129, 154, 2023-09-24 11:34:56 PM
122, 129, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
124, 128, 154, 2023-09-24 11:34:56 PM
122, 127, 154, 2023-09-24 11:34:56 PM
124, 128, 154, 2023-09-24 11:34:56 PM
124, 127, 153, 2023-09-24 11:34:56 PM
124, 127, 154, 2023-09-24 11:34:56 PM
124, 128, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
124, 128, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
124, 128, 154, 2023-09-24 11:34:56 PM
