Ax, Ay, Az, Timestamp
134,129,152, 2023-09-18 11:28:47 AM
134,129,152, 2023-09-18 11:28:47 AM
134,128,152, 2023-09-18 11:28:47 AM
135,128,152, 2023-09-18 11:28:47 AM
134,128,152, 2023-09-18 11:28:47 AM
134,128,152, 2023-09-18 11:28:47 AM
134,128,152, 2023-09-18 11:28:47 AM
133,128,152, 2023-09-18 11:28:47 AM
132,128,151, 2023-09-18 11:28:47 AM
132,128,151, 2023-09-18 11:28:47 AM
132,128,151, 2023-09-18 11:28:47 AM
131,128,151, 2023-09-18 11:28:47 AM
131,129,152, 2023-09-18 11:28:47 AM
130,128,151, 2023-09-18 11:28:47 AM
132,127,151, 2023-09-18 11:28:47 AM
131,129,165, 2023-09-18 11:28:47 AM
39,142,184, 2023-09-18 11:28:47 AM
53,195,135, 2023-09-18 11:28:47 AM
227,102,151, 2023-09-18 11:28:47 AM
209,96,134, 2023-09-18 11:28:47 AM
152,119,133, 2023-09-18 11:28:47 AM
141,134,157, 2023-09-18 11:28:48 AM
141,136,154, 2023-09-18 11:28:48 AM
135,136,153, 2023-09-18 11:28:48 AM
134,134,153, 2023-09-18 11:28:48 AM
137,127,152, 2023-09-18 11:28:48 AM
138,127,151, 2023-09-18 11:28:48 AM
135,128,151, 2023-09-18 11:28:48 AM
135,129,159, 2023-09-18 11:28:48 AM
113,106,126, 2023-09-18 11:28:48 AM
177,8,104, 2023-09-18 11:28:48 AM
197,113,157, 2023-09-18 11:28:48 AM
131,214,162, 2023-09-18 11:28:48 AM
140,177,166, 2023-09-18 11:28:48 AM
147,160,149, 2023-09-18 11:28:48 AM
140,139,146, 2023-09-18 11:28:48 AM
142,131,153, 2023-09-18 11:28:48 AM
135,135,151, 2023-09-18 11:28:48 AM
139,123,145, 2023-09-18 11:28:48 AM
145,120,140, 2023-09-18 11:28:48 AM
143,123,170, 2023-09-18 11:28:48 AM
177,177,249, 2023-09-18 11:28:48 AM
212,145,195, 2023-09-18 11:28:48 AM
189,137,78, 2023-09-18 11:28:48 AM
99,101,37, 2023-09-18 11:28:48 AM
103,125,123, 2023-09-18 11:28:48 AM
116,140,149, 2023-09-18 11:28:49 AM
123,128,150, 2023-09-18 11:28:49 AM
127,132,151, 2023-09-18 11:28:49 AM
132,132,154, 2023-09-18 11:28:49 AM
132,132,158, 2023-09-18 11:28:49 AM
132,130,155, 2023-09-18 11:28:49 AM
133,127,154, 2023-09-18 11:28:49 AM
129,129,153, 2023-09-18 11:28:49 AM
129,129,155, 2023-09-18 11:28:49 AM
128,131,152, 2023-09-18 11:28:49 AM
129,129,153, 2023-09-18 11:28:49 AM
130,130,154, 2023-09-18 11:28:49 AM
130,132,154, 2023-09-18 11:28:49 AM
127,134,152, 2023-09-18 11:28:49 AM
128,133,153, 2023-09-18 11:28:49 AM
127,133,152, 2023-09-18 11:28:49 AM
126,133,151, 2023-09-18 11:28:49 AM
126,133,153, 2023-09-18 11:28:49 AM
127,132,153, 2023-09-18 11:28:49 AM
126,132,152, 2023-09-18 11:28:49 AM
126,132,152, 2023-09-18 11:28:49 AM
126,132,152, 2023-09-18 11:28:49 AM
127,130,153, 2023-09-18 11:28:49 AM
127,131,151, 2023-09-18 11:28:49 AM
126,131,152, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
127,132,152, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
128,132,153, 2023-09-18 11:28:50 AM
128,131,152, 2023-09-18 11:28:50 AM
127,132,152, 2023-09-18 11:28:50 AM
128,132,153, 2023-09-18 11:28:50 AM
128,131,152, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
128,131,153, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
128,131,153, 2023-09-18 11:28:50 AM
128,131,152, 2023-09-18 11:28:50 AM
127,131,153, 2023-09-18 11:28:50 AM
127,131,152, 2023-09-18 11:28:50 AM
127,131,153, 2023-09-18 11:28:50 AM
127,131,153, 2023-09-18 11:28:50 AM
127,132,152, 2023-09-18 11:28:50 AM
127,132,153, 2023-09-18 11:28:50 AM
128,131,152, 2023-09-18 11:28:50 AM
127,132,152, 2023-09-18 11:28:50 AM
128,131,153, 2023-09-18 11:28:51 AM
128,131,153, 2023-09-18 11:28:51 AM
128,131,153, 2023-09-18 11:28:51 AM
128,131,153, 2023-09-18 11:28:51 AM
128,131,152, 2023-09-18 11:28:51 AM
